sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9668233991599041
6.9,3.1,5.1,2.3,virginica,0.9673587633525417
5.1,2.5,3.0,1.1,versicolor,0.9549143570207168
4.4,2.9,,0.2,setosa,0.6183843632434882
5.9,3.0,5.1,1.8,virginica,0.770736349330817
5.5,3.5,1.3,0.2,setosa,0.9568299713306847
5.6,,3.6,1.3,versicolor,0.9449428156299869
6.5,3.0,5.2,2.0,virginica,0.9497304262446589
5.3,3.7,1.5,0.2,setosa,0.9621116672845175
5.1,3.4,1.5,,setosa,0.8031799441671342
6.1,2.8,4.0,1.3,versicolor,0.9799892165337144
5.5,2.4,3.7,1.0,versicolor,0.9803697558756245
7.7,3.0,6.1,2.3,virginica,0.9627235785540584
6.9,3.1,4.9,1.5,versicolor,0.744397752127641
6.0,2.2,5.0,1.5,versicolor,0.5855864764743742
